disaster_number,incident_type,incident_month,incident_begin_year,incident_duration
608,Tornado,10,1979,1
609,Earthquake,10,1979,1
612,Flood,12,1979,1
613,Flood,2,1980,1
614,Flood,2,1980,1
615,Flood,1,1980,1
616,Flood,4,1980,1
617,Tornado,4,1980,1
618,Severe Storm(s),4,1980,1
619,Severe Storm(s),4,1980,1
620,Tornado,5,1980,1
621,Tornado,5,1980,1
623,Volcano,5,1980,1
622,Flood,5,1980,1
624,Volcano,5,1980,1
625,Tornado,6,1980,1
626,Flood,7,1980,1
627,Hurricane,8,1980,1
628,Flood,8,1980,7
629,Flood,8,1980,1
630,Flood,8,1980,1
631,Flood,9,1980,1
632,Flood,9,1980,1
633,Flood,10,1980,1
635,Fire,11,1980,1
638,Severe Storm(s),4,1981,1
639,Flood,5,1981,1
640,Flood,5,1981,1
641,Flood,6,1981,1
643,Severe Storm(s),6,1981,1
642,Severe Storm(s),6,1981,1
644,Severe Storm(s),7,1981,1
645,Flood,8,1981,1
646,Flood,9,1981,1
648,Flood,10,1981,1
649,Flood,11,1981,1
650,Fire,12,1981,1
651,Flood,12,1981,20
652,Flood,3,1982,1
653,Flood,3,1982,11
654,Flood,3,1982,1
655,Tornado,4,1982,1
656,Flood,4,1982,1
657,Fire,4,1982,1
658,Flood,5,1982,1
659,Flood,5,1982,1
660,Tornado,6,1982,1
661,Flood,6,1982,1
662,Flood,6,1982,1
663,Flood,6,1982,1
664,Flood,7,1982,1
665,Flood,7,1982,1
666,Flood,8,1982,1
667,Flood,8,1982,1
668,Flood,9,1982,1
669,Flood,8,1982,21
670,Flood,9,1982,1
671,Typhoon,11,1982,1
672,Flood,12,1982,1
674,Severe Storm(s),12,1982,1
673,Severe Storm(s),12,1982,1
675,Flood,1,1983,1
676,Flood,1,1983,1
677,Coastal Storm,1,1983,68
678,Severe Storm(s),4,1983,1
679,Flood,4,1983,1
680,Flood,4,1983,1
682,Earthquake,5,1983,1
683,Severe Storm(s),6,1983,1
684,Severe Storm(s),6,1983,1
685,Flood,6,1983,1
687,Flood,6,1983,230
686,Flood,6,1983,4
688,Flood,7,1983,1
689,Hurricane,8,1983,2
690,Flood,8,1983,3
691,Flood,9,1983,17
692,Flood,9,1983,14
693,Flood,10,1983,4
694,Earthquake,10,1983,89
695,Severe Storm(s),12,1983,4
696,Freezing,12,1983,4
697,Snow,1,1984,94
698,Freezing,12,1983,2
699,Tornado,3,1984,1
700,Tornado,3,1984,1
701,Flood,3,1984,11
702,Flood,3,1984,11
703,Tornado,3,1984,1
704,Tornado,4,1984,3
706,Flood,5,1984,1
705,Severe Storm(s),5,1984,1
707,Flood,5,1984,1
708,Flood,5,1984,5
709,Flood,5,1984,1
710,Tornado,6,1984,1
712,Flood,6,1984,2
711,Flood,5,1984,6
713,Flood,6,1984,10
714,Severe Storm(s),6,1984,2
715,Severe Storm(s),6,1984,1
716,Tornado,6,1984,11
717,Flood,6,1984,1
718,Tornado,4,1984,1
719,Flood,7,1984,1
720,Flood,8,1984,1
721,Flood,8,1984,1
722,Flood,8,1984,18
723,Flood,9,1984,1
724,Hurricane,9,1984,1
725,Flood,9,1984,1
726,Flood,9,1984,2
727,Flood,10,1984,1
728,Flood,10,1984,1
730,Severe Storm(s),1,1985,1
731,Flood,1,1985,1
732,Freezing,3,1985,1
733,Flood,3,1985,1
734,Snow,3,1985,1
735,Flood,2,1985,41
738,Tornado,5,1985,1
737,Tornado,5,1985,1
739,Fire,6,1985,23
740,Flood,8,1985,1
741,Hurricane,8,1985,6
742,Hurricane,8,1985,4
743,Hurricane,8,1985,4
744,Flood,9,1985,23
745,Hurricane,9,1985,1
747,Hurricane,9,1985,1
748,Hurricane,9,1985,1
749,Hurricane,9,1985,1
750,Hurricane,9,1985,1
751,Hurricane,9,1985,1
752,Hurricane,10,1985,13
753,Flood,11,1985,4
755,Flood,11,1985,1
754,Flood,11,1985,3
756,Hurricane,11,1985,1
757,Flood,1,1986,3
758,Flood,2,1986,26
759,Flood,2,1986,25
760,Flood,2,1986,10
761,Flood,2,1986,11
762,Flood,2,1986,2
763,Tornado,4,1986,1
764,Flood,3,1986,49
766,Flood,5,1986,1
767,Tornado,3,1986,1
769,Flood,5,1986,1
770,Flood,8,1986,1
771,Flood,7,1986,12
773,Flood,11,1985,2
772,Tornado,5,1986,1
774,Flood,9,1986,30
775,Flood,9,1986,23
776,Flood,9,1986,24
779,Flood,9,1986,27
778,Flood,9,1986,19
777,Flood,9,1986,33
780,Flood,10,1986,2
781,Flood,9,1986,1
782,Flood,10,1986,3
784,Flood,11,1986,7
787,Severe Storm(s),2,1987,1
788,Flood,3,1987,13
789,Flood,3,1987,12
790,Flood,3,1987,14
792,Flood,4,1987,4
793,Tornado,5,1987,1
794,Flood,5,1987,12
796,Flood,7,1987,9
795,Flood,5,1987,5
797,Severe Storm(s),7,1987,16
798,Flood,8,1987,17
799,Earthquake,10,1987,50
801,Snow,10,1987,1
802,Tornado,11,1987,1
804,Tornado,11,1987,4
806,Tornado,12,1987,1
807,Flood,12,1987,10
808,Flood,11,1987,51
812,Flood,1,1988,5
813,Fire,2,1988,1
814,Tornado,7,1988,1
815,Fire,9,1988,13
816,Hurricane,9,1988,2
817,Tornado,11,1988,5
818,Tornado,11,1988,1
819,Tornado,1,1989,1
820,Flood,1,1989,1
821,Flood,1,1989,54
822,Flood,3,1989,9
823,Flood,3,1989,1
824,Flood,3,1989,40
825,Flood,3,1989,40
826,Freezing,1,1989,31
827,Tornado,5,1989,1
828,Severe Storm(s),5,1989,34
829,Flood,5,1989,23
830,Flood,5,1989,8
831,Flood,5,1989,34
832,Flood,5,1989,40
833,Tornado,6,1989,1
834,Flood,6,1989,21
835,Flood,6,1989,26
837,Tornado,7,1989,1
836,Flood,6,1989,12
839,Severe Storm(s),6,1989,1
840,Flood,8,1989,1
843,Hurricane,9,1989,1
844,Hurricane,9,1989,1
845,Earthquake,10,1989,62
846,Flood,10,1989,2
847,Flood,10,1989,1
848,Tornado,11,1989,1
849,Flood,11,1989,2
850,Freezing,12,1989,3
851,Freezing,12,1989,2
852,Flood,1,1990,8
853,Flood,1,1990,3
856,Severe Storm(s),2,1990,13
857,Severe Storm(s),2,1990,14
858,Flood,2,1990,5
859,Severe Storm(s),1,1990,50
860,Severe Ice Storm,2,1990,1
861,Severe Storm(s),3,1990,13
862,Flood,3,1990,24
863,Severe Storm(s),4,1990,44
865,Flood,5,1990,33
866,Severe Storm(s),4,1990,48
867,Flood,5,1990,16
868,Flood,5,1990,49
869,Severe Storm(s),5,1990,44
870,Severe Storm(s),5,1990,48
871,Severe Storm(s),5,1990,49
872,Fire,6,1990,7
873,Severe Storm(s),6,1990,50
874,Severe Storm(s),6,1990,27
875,Flood,7,1990,19
876,Flood,8,1990,4
878,Tornado,8,1990,1
877,Flood,8,1990,2
879,Flood,7,1990,37
880,Flood,10,1990,18
881,Flood,10,1990,17
883,Flood,11,1990,41
884,Flood,7,1990,68
885,Flood,11,1990,17
888,Severe Storm(s),12,1990,26
889,Flood,12,1990,26
890,Flood,12,1990,26
891,Flood,12,1990,25
893,Flood,12,1990,58
894,Freezing,12,1990,15
895,Flood,2,1991,32
896,Flood,12,1990,11
897,Flood,3,1991,20
898,Snow,3,1990,1
899,Severe Ice Storm,3,1991,3
900,Severe Storm(s),4,1991,1
901,Snow,4,1991,18
902,Flood,4,1991,14
903,Tornado,4,1991,23
904,Severe Storm(s),4,1991,34
905,Tornado,4,1991,1
906,Severe Storm(s),4,1991,35
908,Flood,5,1991,36
907,Flood,4,1991,29
909,Snow,4,1991,40
910,Flood,5,1991,33
911,Flood,6,1991,14
912,Severe Storm(s),7,1991,1
914,Hurricane,8,1991,1
913,Hurricane,8,1991,1
915,Hurricane,8,1991,3
916,Hurricane,8,1991,1
917,Hurricane,8,1991,2
918,Hurricane,8,1991,1
919,Fire,10,1991,9
920,Coastal Storm,10,1991,3
921,Coastal Storm,10,1991,3
922,Fire,10,1991,8
923,Coastal Storm,10,1991,1
930,Flood,12,1991,25
929,Severe Ice Storm,10,1991,29
928,Severe Ice Storm,10,1991,29
933,Flood,1,1992,1
935,Flood,2,1992,8
936,Severe Storm(s),1,1992,1
938,Flood,3,1992,1
939,Tornado,3,1992,1
937,Flood,3,1992,26
940,Flood,3,1992,27
941,Flood,4,1992,38
942,Fire,4,1992,29
943,Earthquake,4,1992,30
944,Flood,4,1992,1
945,Flood,5,1992,3
946,Severe Storm(s),6,1992,4
948,Severe Storm(s),6,1992,10
947,Earthquake,6,1992,125
949,Tornado,6,1992,1
950,Severe Storm(s),6,1992,5
951,Severe Storm(s),7,1992,20
952,Flood,6,1992,7
953,Flood,8,1992,1
954,Flood,7,1992,18
955,Hurricane,8,1992,1
956,Hurricane,8,1992,5
958,Fire,8,1992,41
959,Tornado,8,1992,1
960,Severe Storm(s),5,1992,90
961,Hurricane,9,1992,1
962,Severe Storm(s),6,1992,37
963,Tornado,6,1992,1
964,Flood,9,1992,10
965,Flood,9,1992,1
966,Severe Storm(s),10,1992,1
967,Tornado,10,1992,1
968,Tornado,11,1992,1
969,Tornado,11,1992,15
970,Tornado,11,1992,1
972,Flood,12,1992,3
973,Flood,12,1992,7
975,Coastal Storm,12,1992,2
974,Flood,12,1992,4
976,Coastal Storm,12,1992,3
977,Flood,1,1993,60
978,Flood,1,1993,5
979,Flood,1,1993,74
980,Tornado,2,1993,1
981,Severe Storm(s),1,1993,1
982,Tornado,3,1993,4
983,Flood,3,1993,14
986,Flood,3,1993,17
987,Tornado,4,1993,1
985,Earthquake,3,1993,1
988,Flood,4,1993,6
989,Flood,4,1993,44
991,Severe Storm(s),5,1993,18
990,Flood,4,1993,32
992,Flood,1,1993,53
993,Severe Storm(s),5,1993,111
994,Severe Storm(s),6,1993,79
997,Flood,4,1993,192
996,Flood,4,1993,171
995,Flood,6,1993,137
999,Severe Storm(s),5,1993,127
998,Flood,6,1993,43
1000,Flood,6,1993,99
1001,Flood,6,1993,94
1002,Severe Storm(s),8,1993,1
1003,Hurricane,8,1993,1
1004,Earthquake,9,1993,1
1005,Fire,10,1993,178
1006,Severe Storm(s),11,1993,6
1007,Severe Storm(s),8,1993,1
1008,Earthquake,1,1994,317
1009,Severe Storm(s),2,1994,5
1012,Severe Storm(s),2,1994,2
1011,Snow,2,1994,1
1010,Severe Storm(s),2,1994,2
1013,Severe Storm(s),1,1994,29
1015,Severe Storm(s),1,1994,52
1014,Snow,2,1994,4
1018,Snow,2,1994,2
1016,Snow,2,1994,10
1017,Severe Storm(s),2,1994,10
1019,Severe Storm(s),3,1994,14
1020,Tornado,3,1994,14
1021,Severe Storm(s),3,1994,4
1022,Flood,3,1994,9
1023,Severe Storm(s),4,1994,26
1024,Severe Storm(s),4,1994,23
1025,Severe Storm(s),4,1994,25
1026,Severe Storm(s),4,1994,9
1027,Snow,4,1994,3
1028,Freezing,1,1994,151
1029,Flood,4,1994,24
1031,Severe Storm(s),3,1994,150
1032,Severe Storm(s),3,1994,153
1033,Tornado,7,1994,22
1034,Severe Storm(s),7,1994,17
1035,Severe Storm(s),7,1994,27
1039,Severe Storm(s),8,1994,38
1041,Flood,10,1994,25
1042,Severe Storm(s),10,1994,46
1043,Severe Storm(s),11,1994,14
1044,Severe Storm(s),1,1995,38
1046,Severe Storm(s),2,1995,65
1045,Snow,1,1995,28
1047,Severe Storm(s),2,1995,5
1049,Severe Storm(s),5,1995,8
1051,Severe Storm(s),5,1995,9
1050,Severe Storm(s),3,1995,126
1052,Flood,3,1995,111
1053,Severe Storm(s),5,1995,31
1054,Severe Storm(s),5,1995,41
1055,Tornado,5,1995,6
1056,Severe Storm(s),5,1995,3
1057,Tornado,5,1995,32
1058,Tornado,5,1995,16
1059,Severe Storm(s),6,1995,15
1060,Severe Storm(s),6,1995,5
1061,Flood,7,1995,1
1062,Hurricane,8,1995,1
1063,Severe Storm(s),8,1995,2
1064,Severe Storm(s),7,1995,5
1065,Severe Storm(s),8,1995,11
1066,Severe Storm(s),7,1995,16
1070,Hurricane,10,1995,4
1069,Hurricane,10,1995,7
1071,Hurricane,10,1995,1
1072,Flood,9,1995,22
1073,Flood,10,1995,2
1074,Flood,10,1995,38
1076,Severe Storm(s),11,1995,1
1079,Severe Storm(s),11,1995,41
1077,Flood,10,1995,26
1075,Snow,10,1995,2
1078,Snow,10,1995,1
1081,Snow,1,1996,6
1083,Snow,1,1996,6
1082,Snow,1,1996,6
1089,Snow,1,1996,7
1088,Snow,1,1996,5
1087,Snow,1,1996,6
1086,Snow,1,1996,6
1085,Snow,1,1996,6
1084,Snow,1,1996,6
1093,Flood,1,1996,13
1094,Flood,1,1996,12
1095,Flood,1,1996,11
1092,Snow,1,1996,6
1091,Snow,1,1996,6
1090,Snow,1,1996,6
1096,Flood,1,1996,14
1098,Flood,1,1996,13
1097,Flood,1,1996,11
1100,Flood,1,1996,28
1099,Flood,2,1996,17
1102,Severe Storm(s),2,1996,17
1101,Flood,1,1996,14
1105,Severe Storm(s),2,1996,25
1104,Severe Storm(s),2,1996,11
1103,Snow,2,1996,7
1106,Severe Storm(s),1,1996,18
1107,Severe Storm(s),12,1996,2
1108,Severe Storm(s),3,1996,1
1109,Flood,1,1996,6
1111,Severe Storm(s),4,1996,1
1110,Severe Storm(s),4,1996,1
1112,Severe Storm(s),4,1996,19
1113,Severe Storm(s),3,1996,96
1114,Severe Storm(s),4,1996,1
1115,Flood,5,1996,26
1116,Flood,3,1996,95
1117,Severe Storm(s),5,1996,1
1118,Severe Storm(s),3,1996,101
1119,Fire,6,1996,13
1120,Flood,6,1996,7
1122,Flood,5,1996,53
1121,Severe Storm(s),5,1996,20
1123,Severe Storm(s),5,1996,20
1124,Flood,6,1996,2
1125,Severe Storm(s),4,1996,27
1127,Hurricane,7,1996,3
1128,Severe Storm(s),6,1996,10
1129,Severe Storm(s),7,1996,21
1130,Flood,7,1996,1
1131,Flood,7,1996,5
1132,Fire,7,1996,13
1133,Severe Storm(s),6,1996,15
1135,Hurricane,9,1996,18
1134,Hurricane,9,1996,46
1137,Severe Storm(s),9,1996,3
1138,Flood,9,1996,2
1139,Hurricane,9,1996,3
1140,Flood,9,1996,40
1141,Severe Storm(s),10,1996,14
1142,Flood,10,1996,5
1143,Flood,10,1996,6
1144,Flood,10,1996,3
1146,Severe Storm(s),10,1996,1
1145,Severe Storm(s),10,1996,5
1147,Flood,11,1996,34
1148,Severe Storm(s),11,1996,7
1149,Flood,11,1996,24
1150,Flood,11,1996,7
1153,Severe Storm(s),12,1996,28
1155,Severe Storm(s),12,1996,94
1154,Severe Storm(s),11,1996,48
1152,Severe Ice Storm,11,1996,15
1151,Severe Storm(s),11,1996,16
1156,Severe Storm(s),1,1997,28
1157,Severe Storm(s),1,1997,28
1158,Severe Storm(s),1,1997,31
1159,Severe Storm(s),12,1996,46
1160,Severe Storm(s),12,1996,12
1161,Severe Storm(s),11,1996,13
1162,Severe Storm(s),3,1997,3
1163,Severe Storm(s),3,1997,30
1164,Severe Storm(s),2,1997,17
1165,Severe Storm(s),2,1997,31
1168,Flood,2,1997,15
1167,Tornado,2,1997,24
1169,Severe Storm(s),1,1997,5
1170,Severe Storm(s),3,1997,31
1172,Flood,3,1997,10
1171,Severe Storm(s),3,1997,1
1174,Flood,2,1997,85
1173,Flood,2,1997,110
1175,Flood,3,1997,64
1176,Flood,4,1997,17
1178,Flood,2,1997,52
1177,Severe Storm(s),3,1997,108
1180,Severe Storm(s),6,1997,2
1179,Flood,6,1997,24
1181,Severe Storm(s),7,1997,1
1182,Flood,4,1997,81
1184,Flood,7,1997,2
1183,Severe Storm(s),3,1997,158
1185,Severe Storm(s),7,1997,5
1186,Flood,7,1997,15
1187,Severe Storm(s),6,1997,29
1188,Severe Storm(s),8,1997,1
1189,Severe Storm(s),8,1997,1
1190,Severe Storm(s),10,1997,2
1191,Snow,10,1997,2
1195,Severe Storm(s),12,1997,120
1196,Snow,1,1998,12
1198,Severe Storm(s),1,1998,20
1197,Severe Storm(s),1,1998,37
1201,Severe Storm(s),1,1998,10
1200,Severe Storm(s),1,1998,36
1199,Severe Storm(s),1,1998,18
1202,Severe Storm(s),12,1997,3
1203,Severe Storm(s),2,1998,87
1204,Severe Storm(s),2,1998,2
1205,Severe Storm(s),1,1998,9
1207,Severe Storm(s),2,1998,2
1206,Coastal Storm,2,1998,4
1208,Severe Storm(s),3,1998,14
1209,Severe Storm(s),2,1998,86
1211,Severe Storm(s),3,1998,12
1212,Tornado,3,1998,1
1214,Severe Storm(s),4,1998,12
1215,Severe Storm(s),4,1998,32
1216,Severe Storm(s),4,1998,24
1217,Severe Storm(s),3,1998,3
1218,Flood,4,1998,58
1219,Severe Storm(s),5,1998,2
1221,Flood,5,1998,6
1220,Flood,3,1998,138
1222,Severe Storm(s),5,1998,2
1223,Fire,5,1998,58
1225,Tornado,5,1998,44
1224,Flood,6,1998,23
1226,Severe Storm(s),5,1998,2
1228,Severe Storm(s),6,1998,61
1227,Severe Storm(s),6,1998,11
1229,Severe Storm(s),6,1998,31
1232,Severe Storm(s),6,1998,18
1230,Flood,6,1998,32
1231,Severe Storm(s),6,1998,20
1233,Severe Storm(s),6,1998,15
1234,Severe Storm(s),6,1998,26
1235,Severe Storm(s),7,1998,15
1236,Severe Storm(s),6,1998,12
1237,Severe Storm(s),7,1998,1
1238,Severe Storm(s),8,1998,10
1239,Severe Storm(s),8,1998,9
1240,Hurricane,8,1998,12
1241,Hurricane,9,1998,1
1242,Hurricane,8,1998,7
1243,Hurricane,8,1998,7
1244,Severe Storm(s),9,1998,1
1246,Hurricane,9,1998,25
1245,Severe Storm(s),9,1998,26
1249,Hurricane,9,1998,12
1250,Hurricane,9,1998,11
1251,Hurricane,9,1998,10
1252,Severe Storm(s),5,1998,3
1254,Severe Storm(s),10,1998,7
1253,Severe Storm(s),10,1998,7
1255,Mud/Landslide,3,1998,258
1256,Severe Storm(s),7,1998,21
1257,Flood,10,1998,29
1258,Severe Storm(s),10,1998,16
1259,Severe Storm(s),11,1998,1
1261,Severe Storm(s),12,1998,6
1260,Severe Storm(s),12,1998,6
1262,Severe Storm(s),1,1999,15
1264,Severe Storm(s),12,1998,6
1263,Severe Storm(s),10,1998,3
1266,Severe Storm(s),1,1999,10
1265,Severe Ice Storm,12,1998,3
1267,Freezing,12,1998,8
1268,Severe Ice Storm,10,1998,4
1269,Severe Storm(s),4,1999,4
1270,Severe Storm(s),4,1999,11
1271,Severe Storm(s),4,1999,1
1273,Tornado,5,1999,3
1272,Tornado,5,1999,1
1274,Tornado,5,1999,1
1275,Severe Storm(s),5,1999,14
1276,Severe Storm(s),4,1999,20
1277,Severe Storm(s),5,1999,13
1278,Severe Storm(s),5,1999,1
1279,Flood,3,1999,140
1280,Tornado,6,1999,14
1281,Severe Storm(s),7,1999,8
1282,Severe Storm(s),7,1999,39
