disaster_number,incident_type,designated_area,state,region,programs_declared
608,Tornado,"Hartford (County)(in PMSA 1170,3280,5440)",CT,Northeast,1
609,Earthquake,Imperial (County),CA,West,2
612,Flood,Jefferson (County),WA,West,1
613,Flood,Maui (County),HI,West,1
614,Flood,Yavapai (County),AZ,Southwest,2
615,Flood,Orange (County),CA,West,2
616,Flood,Jefferson (Parish),LA,Southeast,1
617,Tornado,Lonoke (County),AR,Southeast,1
618,Severe Storm(s),Forrest (County),MS,Southeast,2
619,Severe Storm(s),Lee (County),AL,Southeast,1
620,Tornado,Pettis (County),MO,Midwest,1
621,Tornado,Kalamazoo (County),MI,Midwest,2
623,Volcano,Benton (County),WA,West,2
622,Flood,Acadia (Parish),LA,Southeast,1
624,Volcano,Benewah (County),ID,West,2
625,Tornado,Hall (County),NE,Midwest,2
626,Flood,Chippewa (County),WI,Midwest,2
627,Hurricane,Jim Hogg (County),TX,Southwest,2
628,Flood,Jackson (County),WV,Southeast,2
629,Flood,Butler (County),PA,Northeast,2
630,Flood,Columbiana (County),OH,Midwest,2
631,Flood,Wayne (County),MI,Midwest,1
632,Flood,Jefferson (County),TX,Southwest,2
633,Flood,San Joaquin (County),CA,West,1
635,Fire,Orange (County),CA,West,2
638,Severe Storm(s),Russell (County),AL,Southeast,2
639,Flood,Mobile (County),AL,Southeast,2
640,Flood,Meagher (County),MT,West,2
641,Flood,Crawford (County),PA,Northeast,2
643,Severe Storm(s),Schuyler (County),IL,Midwest,2
642,Severe Storm(s),Putnam (County),OH,Midwest,1
644,Severe Storm(s),Barton (County),KS,Midwest,1
645,Flood,Clark (County),NV,West,1
646,Flood,Lavaca (County),TX,Southwest,2
648,Flood,Cooke (County),TX,Southwest,2
649,Flood,Coal (County),OK,Southwest,1
650,Fire,"Essex (County)(in PMSA 1120,4160,7090)",MA,Northeast,2
651,Flood,Santa Cruz (County),CA,West,2
652,Flood,Starke (County),IN,Midwest,1
653,Flood,Defiance (County),OH,Midwest,2
654,Flood,Berrien (County),MI,Midwest,1
655,Tornado,Lamar (County),TX,Southwest,2
656,Flood,Maui (County),HI,West,1
657,Fire,Orange (County),CA,West,1
658,Flood,Adams (County),ND,Midwest,1
659,Flood,Wichita (County),TX,Southwest,1
660,Tornado,Williamson (County),IL,Midwest,2
661,Flood,"Fairfield (County)(in PMSA 1160,1930,5760,8040)",CT,Northeast,2
662,Flood,Washita (County),OK,Southwest,1
663,Flood,Statewide,KS,Midwest,3
664,Flood,DeSoto (County),FL,Southeast,1
665,Flood,Larimer (County),CO,West,2
666,Flood,Smith (County),TN,Southeast,2
667,Flood,Clay (County),MO,Midwest,1
668,Flood,Gibson (County),TN,Southeast,1
669,Flood,San Joaquin (County),CA,West,1
670,Flood,Letcher (County),KY,Southeast,1
671,Typhoon,Honolulu (County),HI,West,2
672,Flood,Lincoln (County),MO,Midwest,1
674,Severe Storm(s),Jersey (County),IL,Midwest,2
673,Severe Storm(s),Garland (County),AR,Southeast,1
675,Flood,Beauregard (Parish),LA,Southeast,1
676,Flood,Whatcom (County),WA,West,1
677,Coastal Storm,Riverside (County),CA,West,2
678,Severe Storm(s),Lamar (County),MS,Southeast,2
679,Flood,East Baton Rouge (Parish),LA,Southeast,2
680,Flood,Weber (County),UT,West,2
682,Earthquake,Kings (County),CA,West,1
683,Severe Storm(s),Madison (County),MS,Southeast,1
684,Severe Storm(s),Franklin (County),IL,Midwest,1
685,Flood,Hughes (County),OK,Southwest,1
687,Flood,Imperial (County),CA,West,2
686,Flood,Yuma (County),AZ,Southwest,2
688,Flood,Sevier (County),AR,Southeast,1
689,Hurricane,Matagorda (County),TX,Southwest,1
690,Flood,San Bernardino (County),CA,West,1
691,Flood,Pinal (County),AZ,Southwest,2
692,Flood,Catron (County),NM,Southwest,1
693,Flood,Okfuskee (County),OK,Southwest,1
694,Earthquake,Gooding (County),ID,West,1
695,Severe Storm(s),Calhoun (County),AL,Southeast,1
696,Freezing,Cameron (County),TX,Southwest,1
697,Snow,Lemhi (County),ID,West,2
698,Freezing,Seminole (County),FL,Southeast,1
699,Tornado,Pitt (County),NC,Southeast,2
700,Tornado,Laurens (County),SC,Southeast,1
701,Flood,Cape May (County),NJ,Northeast,2
702,Flood,New York (County),NY,Northeast,1
703,Tornado,Lafayette (County),MS,Southeast,1
704,Tornado,Okmulgee (County),OK,Southwest,2
706,Flood,McDowell (County),WV,Southeast,1
705,Severe Storm(s),Taylor (County),KY,Southeast,1
707,Flood,Buchanan (County),VA,Southeast,2
