disaster_number,state,incident_type,declaration_title,incident_begin_date,incident_end_date,designated_area,incident_month,incident_duration,incident_begin_year,region,season,season_number,programs_declared,region_number
608,CT,Tornado,Tornado & Severe Storms,1979-10-04,1979-10-04,"Hartford (County)(in PMSA 1170,3280,5440)",10,1,1979,Northeast,Autumn,3,1,1
609,CA,Earthquake,Earthquake,1979-10-19,1979-10-19,Imperial (County),10,1,1979,West,Autumn,3,2,4
612,WA,Flood,"Storms, High Tides, Mudslides & Flooding",1979-12-31,1979-12-31,Jefferson (County),12,1,1979,West,Winter,4,1,4
613,HI,Flood,"Severe Storms, High Surf & Flooding",1980-02-06,1980-02-06,Maui (County),2,1,1980,West,Winter,4,1,4
614,AZ,Flood,Severe Storms & Flooding,1980-02-19,1980-02-19,Yavapai (County),2,1,1980,Southwest,Winter,4,2,5
615,CA,Flood,"Severe Storms, Mudslides & Flooding",1980-01-08,1980-01-08,Orange (County),1,1,1980,West,Winter,4,2,4
616,LA,Flood,Severe Storms & Flooding,1980-04-09,1980-04-09,Jefferson (Parish),4,1,1980,Southeast,Spring,1,1,2
617,AR,Tornado,Severe Storms & Tornadoes,1980-04-16,1980-04-16,Lonoke (County),4,1,1980,Southeast,Spring,1,1,2
618,MS,Severe Storm(s),"Storms, Flood, Mudslides & Tornadoes",1980-04-19,1980-04-19,Forrest (County),4,1,1980,Southeast,Spring,1,2,2
619,AL,Severe Storm(s),"Severe Storms, Tornadoes & Flooding",1980-04-20,1980-04-20,Lee (County),4,1,1980,Southeast,Spring,1,1,2
620,MO,Tornado,Severe Storms & Tornadoes,1980-05-15,1980-05-15,Pettis (County),5,1,1980,Midwest,Spring,1,1,3
621,MI,Tornado,Severe Storms & Tornadoes,1980-05-16,1980-05-16,Kalamazoo (County),5,1,1980,Midwest,Spring,1,2,3
623,WA,Volcano,"Volcanic Eruption, Mt. St. Helens",1980-05-21,1980-05-21,Benton (County),5,1,1980,West,Spring,1,2,4
622,LA,Flood,Severe Storms & Flooding,1980-05-21,1980-05-21,Acadia (Parish),5,1,1980,Southeast,Spring,1,1,2
624,ID,Volcano,"Volcanic Eruption, Mt. St. Helens",1980-05-22,1980-05-22,Benewah (County),5,1,1980,West,Spring,1,2,4
625,NE,Tornado,Severe Storms & Tornadoes,1980-06-04,1980-06-04,Hall (County),6,1,1980,Midwest,Summer,2,2,3
626,WI,Flood,Severe Storms & Flooding,1980-07-24,1980-07-24,Chippewa (County),7,1,1980,Midwest,Summer,2,2,3
627,TX,Hurricane,Hurricane Allen,1980-08-11,1980-08-11,Jim Hogg (County),8,1,1980,Southwest,Summer,2,2,5
628,WV,Flood,Severe Storms & Flooding,1980-08-15,1980-08-22,Jackson (County),8,7,1980,Southeast,Summer,2,2,2
629,PA,Flood,Severe Storms & Flooding,1980-08-19,1980-08-19,Butler (County),8,1,1980,Northeast,Summer,2,2,1
630,OH,Flood,Severe Storms & Flooding,1980-08-23,1980-08-23,Columbiana (County),8,1,1980,Midwest,Summer,2,2,3
